上田城 (city_ueda)
安定 (city_anding)
南充 (city_guozhou)
涪城 (city_mianyang)
阳安 (city_jianzhou)
盘石 (city_zizhou)
保定 (city_baoding)
乐成 (city_hejian)
蓨城 (city_jingzhou2)
平原 (city_pingyuan)
平阳 (city_linfen)
琅琊 (city_langya)
莒城 (city_ju)
兰陵 (city_lanling)
定陶 (city_dingtao)
即墨 (city_jimo)
博阳 (city_boyang)
布山 (city_bushan)
宛丘 (city_huaiyang)
顺昌 (city_shunchang)
谯县 (city_qiaojun)
涪陵 (city_fuling)
夷陵 (city_yiling)
汉东 (city_suizhou)
柴桑 (city_chaisang)
延陵 (city_changzhou)
嘉兴 (city_jiaxing)
剡城 (city_shanxian)
汧源 (city_longzhou)
陇西 (city_longxi)
张掖 (city_zhangye)
酒泉城 (city_jiuquan)
郅支城 (city_zhizhicheng)
赤谷城 (city_chigucheng)
贵山城 (city_guishancheng)
扜泥城 (city_loulan)
渠莎 (city_shache)
员渠城 (city_yanqi)
敦煌 (city_dunhuang)
浇河 (city_ledu)
临洮 (city_lintao)
嘉诚 (city_songzhou)
邛都 (city_jianchang)
头曼城 (city_toumancheng)
广南 (city_guangnan)
襄平 (city_liaoyang)
朝阳 (city_chaoyang)
棘城 (city_jicheng)
白狼山 (city_bailangshan)
降圣 (city_jiangsheng)
可乐城 (city_hezhang)
郯城 (city_tancheng)
朐城 (city_qucheng)
白波谷 (city_baibogu)
永昌 (city_baoshan)
国内城 (city_guoneicheng)
武陵 (city_wuling)
金华 (city_wuzhou)
信安 (city_quzhou)
鄱阳 (city_raozhou)
南康 (city_qianzhou)
子午谷 (city_ziwu)
飞狐 (city_feihu)
钓鱼城 (city_diaoyucheng)
合川 (city_diezhou)
茂名 (city_panzhou)
汶川 (city_maozhou)
清远 (city_qingyuan)
雕阴 (city_yinzhou)
榆林 (city_dongshengzhou)
略阳 (city_lueyang)
渑池 (city_mianchi)
淮阴 (city_huaiyin)
当阳 (city_dangyang)
枣阳 (city_zaoyang)
卡克里克 (city_ruoqiang)
播仙 (city_qiemo)
精绝 (city_jingjue)
固玛 (city_pishan)
库尔勒 (city_weili)
鹰娑川 (city_yingsuochuan)
星星峡 (city_xingxingxia)
叶城 (city_xiye)
休循 (city_xiuxun)
英吉沙尔 (city_yinai)
武州塞 (city_wuzhousai)
鸡鹿塞 (city_jilusai)
夏阳渡 (city_xiayangdu)
漂渝津 (city_piaoyujin)
蒙舍城 (city_mengshe)
咸兴 (city_hamhung)
笼耳 (city_longer)
国原城 (city_guoyuancheng)
锦城 (city_geumseong)
完山 (city_jeonju)
鸣梁 (city_jindo)
顺天 (city_suncheon_k)
金海 (city_gimhae)
朐山 (city_haeju)
龙湾 (city_longwan)
枹罕 (city_fuhan)
岐山 (city_qishan)
统万城 (city_tongwancheng)
仇池 (city_qiuchi)
广武 (city_daixian)
鸭绿府 (city_yalu)
蒺藜山 (city_jilishan)
赫图阿拉 (city_hetuala)
五国城 (city_wuguo)
光禄城 (city_guanglu)
燕然勒石 (city_yanran_stone)
云中 (city_chilechuan)
威戎 (city_weirong)
邢台 (city_xingtai)
盛乐 (city_shengle)
鹿儿岛城 (city_satsuma)
首里 (city_shuri)
金石城 (city_tsushima)
清洲城 (city_kiyosu)
躑躅崎馆 (city_tsutsujigasaki)
冈丰城 (city_okafu)
姬路城 (city_himeji)
宇都宫城 (city_utsunomiya)
鹤之城 (city_tsuruga)
名张 (city_nabari)
江沼 (city_jianghu)
仙台 (city_xiantai)
松山 (city_songshan)
府内 (city_funei)
高岛 (city_gaodao)
长子 (city_shangdang)
新蔡 (city_chenjun)
曲阜 (city_qufu)
伏俟城 (city_fusicheng)
象林 (city_xianglin)
符离 (city_xucheng)
朝歌 (city_zhaoge)
六安 (city_liuxian)
秀容川 (city_xiurongchuan)
高凉 (city_gaoliang)
卑沙城 (city_beishacheng)
孽多 (city_nieduo)
大方城 (city_dafang)
晋兴 (city_yongzhou)
清溪 (city_qingxi)
蓬莱 (city_dengzhou)
胶西 (city_jiaoxi)
弓月城 (city_almaliq)
也迷里 (city_emil)
汪吉河 (city_kereyid)
福海 (city_fuhai)
哈拉哈河 (city_tatar)
色楞格河 (city_merkit)
新会 (city_xinhui)
宁海 (city_ninghai)
政和 (city_zhenghe)
龙溪 (city_zhangzhou)
黄连 (city_tingzhou)
庆元 (city_qingyuan_zj)
临海 (city_taizhou_zj)
永嘉 (city_wenzhou)
延平 (city_yanping)
建宁 (city_jianning)
丽水 (city_chuzhou_zj)
文安 (city_wenan)
乐安 (city_wudingzhou)
河套 (city_hetao)
科布多 (city_kobdo)
瑷珲 (city_yeren_base)
库伦 (city_kulun)
固尔札 (city_yili)
卓木 (city_yadong)
勒乌围 (city_leweizhai)
美诺寨 (city_meinuozhai)
肇庆 (city_zhaoqing)
彰化 (city_changhua_tw)
平陇 (city_pinglong)
加德满都 (city_kathmandu)
亚西 (city_turkestan)
浩罕 (city_kokand)
法扎巴德 (city_fayzabad)
金田村 (city_jintian)
上海 (city_shanghai)
兴势 (city_yangxian)
偏刀水 (city_piandaoshui)
乌城 (city_wuliyasutai)
托克逊 (city_tuokexun)
达坂城 (city_dabancheng)
囊哈儿 (city_nanghar)
柳之御所 (city_yanaginogosho)
凤林城 (city_fenglin)
皮岛 (city_pidao)
浑江 (city_tongjiajiang)
贝加尔 (city_xiaoyenisei)
应昌 (city_yingchang)
延恩 (city_ordos)
弱水畔 (city_ruoshui)
娑陵 (city_suoling)
克鲁伦河 (city_kerulen)
捕鱼儿海 (city_erguna)
和博克 (city_dzungar_basin)
瀚海 (city_hanhai)
怛罗斯 (city_talas)
柘折城 (city_tashkent)
穹窿银 (city_qionglong)
列城 (city_leh)
青唐城 (city_qingtang)
当雄 (city_dangxiong)
玛旁雍错 (city_mapangyongcuo)
察木多 (city_kangyanchuan)
黑河宗 (city_heizong)
错那 (city_cuona)
墨脱 (city_metuo)
楚布寺 (city_chubusi)
阿瓦 (city_ava)
室利差罗 (city_srikshetra)
直通城 (city_thaton)
新兴 (city_tonghai)
海龙屯 (city_hailongtun)
镇远 (city_zhenyuan)
独克宗 (city_mufu)
花山 (city_huashan)
合浦 (city_hepu)
海康 (city_haikang)
美山 (city_myson)
华闾 (city_hoalu)
和平 (city_hoabinh)
牡丹社 (city_mudan)
凌云 (city_cen)
西都城 (city_xidu)
宕渠 (city_dangqu)
隆城 (city_langzhong_gucheng)
府谷 (city_fuzhou_fugu)
宛陵城 (city_wanling)
敕木山 (city_chimushan)
武陵山 (city_wulingshan)
安化 (city_xingqing)
永安 (city_yongan)
新郑 (city_xinzheng)
东康 (city_dongkang)
康卡 (city_kanka)
千早城 (city_asuka)
伯都 (city_boduo)
瓦拉赫沙 (city_varaksha)
饶乐水 (city_raoleshui)
武川镇 (city_wuchuanzhen)
黟城 (city_yixian)
来凤 (city_laifeng)
慈利 (city_cili)
秀山 (city_xiushan)
潜山 (city_qianshan)
八面山 (city_bamian)
甲定 (city_jiading)
且兰城 (city_qielancheng)
允吾 (city_yunwu)
房陵 (city_fangling)
竹山 (city_shangyong)
武当 (city_junzhou)
安康 (city_jinzhou_shanxi)
乐山 (city_leshan)
汉昌 (city_hanchang)
