ts_001 | 百战不殆 | undefined
ts_002 | 居高临下 | undefined
ts_003 | 长驱直入 | undefined
ts_004 | 中流击楫 | undefined
ts_005 | 摧城拔寨 | undefined
ts_006 | 金城汤池 | undefined
ts_007 | 原野交锋 | 原野争锋 ×1.25：描述为野战加成，实战按【进攻方】结算（攻城/野战通吃，守城不吃），避免野战稀少辜负名将
ts_008 | 以寡击众 | undefined
ts_009 | 扫穴犁庭 | 需将势力文化区传入战斗层；【2026-07-03】×1.3→×1.25：跨文化交战率~92%=准无条件，×1.3 长期压过基准锚点
ts_010 | 擒贼擒王 | undefined
ts_011 | 绝地反击 | undefined
ts_049 | 一鼓作气 | 出征首战×1.25（桥接 ally_mult_1_2 + first_sortie 门控）；契合名将远征首战爆发看点；原士气系并入强化系
ts_012 | 破釜沉舟 | 深劣势(本方<敌70%)·纯方差[0.5,1.5]；与 ts_020 济河焚舟同 deep_gamble 组二选一（本技全开方差博上限，济河下限0.9稳赌）；巨鹿以少击多决死
ts_013 | 背水一战 | undefined
ts_014 | 步步为营 | undefined
ts_015 | 进退有度 | undefined
ts_016 | 见机而作 | undefined
ts_017 | 转败为功 | undefined
ts_018 | 死地后生 | 浅劣势(本方<敌100%)·独占方差[0.5,1.5]；破釜/济河需<70%敌不触发此窗口→死地在70%~100%劣势区独占，不再被济河严格压制
ts_019 | 风声鹤唳 | 扰敌 luck（作用于攻方掷点）；【2026-07-03】always→守城防御方限定：淝水系防御战，无条件扰敌全表最强(+19pt)过载；守城技触发率天然低，落「AI守将吃翻盘技」受众分层
ts_020 | 济河焚舟 | 深劣势(本方<敌70%)·上偏稳赌[0.9,1.5]均值1.2；与 ts_012 破釜沉舟同 deep_gamble 组二选一（本技下限0.9稳，破釜全开方差博上限）
ts_021 | 先声夺人 | undefined
ts_022 | 乘瑕袭隙 | undefined
ts_023 | 夜半劫营 | 稀有大档；【2026-07-03】30%→25%：削30% 胜率~99% 无悬念；稀有度靠分配层（仅个位数名将），不加逆局门槛（夜袭=开局奇袭）
ts_024 | 反戈一击 | undefined
